date,noComplaints,noResolvedComplaints,noProblems,noInfoSeeking
02-01-2017,467,501,272,195
02-02-2017,475,479,297,178
02-03-2017,444,442,292,152
02-04-2017,249,0,160,89
02-05-2017,185,0,118,67
02-06-2017,526,601,341,185
02-07-2017,613,741,393,220
02-08-2017,545,655,340,205
02-09-2017,519,418,334,185
02-10-2017,382,623,244,138
02-11-2017,324,0,198,126
02-12-2017,200,0,122,78
2/13/2017,538,686,340,198
2/14/2017,496,707,288,208
2/15/2017,559,481,358,201
2/16/2017,586,575,371,215
2/17/2017,496,516,309,187
2/18/2017,263,0,167,96
2/19/2017,157,0,97,60
2/20/2017,502,666,299,203
2/21/2017,501,577,326,175
2/22/2017,455,558,288,167
2/23/2017,398,505,241,157
2/24/2017,271,0,172,99
2/25/2017,205,0,140,65
2/26/2017,125,0,83,42
2/27/2017,426,918,277,149
2/28/2017,540,549,306,234
03-01-2017,485,471,301,184
03-02-2017,479,499,287,192
03-03-2017,448,468,275,173
03-04-2017,273,0,175,98
03-05-2017,143,0,80,63
03-06-2017,505,649,317,188
03-07-2017,501,612,314,187
03-08-2017,473,601,289,184
03-09-2017,518,438,331,187
03-10-2017,407,519,271,136
03-11-2017,286,0,190,96
03-12-2017,152,0,96,56
3/13/2017,184,0,118,66
3/14/2017,477,873,278,199
3/15/2017,451,582,275,176
3/16/2017,440,488,278,162
3/17/2017,381,354,228,153
3/18/2017,238,0,150,88
3/19/2017,140,0,94,46
3/20/2017,408,471,243,165
3/21/2017,487,509,297,190
3/22/2017,450,536,230,220
3/23/2017,348,562,219,129
3/24/2017,401,471,195,206
3/25/2017,243,0,122,121
3/26/2017,132,0,60,72
3/27/2017,363,719,202,161
3/28/2017,393,0,219,174
3/29/2017,458,651,267,191
3/30/2017,437,499,243,194
3/31/2017,395,622,215,180
04-01-2017,197,0,123,74
04-02-2017,130,0,83,47
04-03-2017,332,733,192,140
04-04-2017,303,0,199,104
04-05-2017,378,562,246,132
04-06-2017,471,567,338,133
04-07-2017,277,414,178,99
